ФИО;Паспортные данные;СНИЛС;Симптомы;Выбор врача;Дата посещения врача;Анализы;Дата получения анализов;Стоимость анализов;Карта оплаты
Романова Радмила Вадимовна;3622 804712;998-094-024 76;легкая тошнота;косметолог;2025-12-01T11:00+03:00;общий анализ мочи, общий анализ крови;2025-12-02T17:00+03:00;1400 руб.;2200 0973 0626 0423
Лукашенко Тимофей Федорович;6609 570148;131-765-397 65;легкая тошнота;стоматолог-хирург;2025-12-15T10:00+03:00;общий анализ крови;2025-12-16T17:00+03:00;800 руб.;4622 0475 6085 8160
Сергеева Оксана Евгеньевна;7718 779795;397-359-893 70;общая слабость;пластический хирург;2025-11-24T13:30+03:00;общий анализ мочи, общий анализ крови;2025-11-25T17:00+03:00;1400 руб.;2200 0794 9993 9336
Климов Иван Олегович;7416 909802;497-334-843 39;общее недомогание, незначительное повышение температуры, легкая тошнота;неонатолог;2025-11-28T16:00+03:00;общий анализ мочи;2025-12-01T17:00+03:00;600 руб.;2200 0460 5080 1841
Молчанова Марина Федоровна;5020 167754;691-669-784 74;шелушение кожи, отек кожи;дерматолог;2025-12-15T12:15+03:00;анализ на демодекс, дерматоскопия;2025-12-17T09:00+03:00;3500 руб.;4276 8327 9724 5722
Соловьева Мирослава Леонидовна;4721 552954;988-683-452 10;резкое увеличение веса;эндокринолог;2025-12-17T17:15+03:00;глюкозотолерантный тест;2025-12-22T09:00+03:00;1750 руб.;2200 0765 3460 6052
Соловьев Богдан Кириллович;3418 666207;398-471-690 52;головная боль;пластический хирург;2025-12-15T09:30+03:00;общий анализ мочи, общий анализ крови;2025-12-17T14:30+03:00;1400 руб.;2200 0947 8769 8999
Петухова Вера Константиновна;7819 906907;686-536-945 67;частые ОРВИ у детей;педиатр;2025-12-05T14:00+03:00;анализ кала на яйца глист, общий анализ мочи;2025-12-08T09:00+03:00;2350 руб.;5469 3839 3543 5860
Макаров Святослав Вячеславович;6624 501198;817-006-661 83;ушибы;травматолог;2025-12-15T13:15+03:00;коагулограмма, мрт при травме;2025-12-17T09:00+03:00;13250 руб.;2200 0333 9527 5360
Константинов Игорь Станиславович;5223 002304;548-851-027 19;незначительное повышение температуры, головная боль, легкая тошнота;терапевт;2025-11-28T10:45+03:00;общий анализ крови, флюорография;2025-12-01T17:00+03:00;2000 руб.;2200 0794 8963 4061
Кузнецова Александра Алексеевна;0215 410374;960-962-626 47;легкая тошнота, незначительное повышение температуры;диетолог;2025-11-24T11:15+03:00;общий анализ мочи;2025-11-27T11:15+03:00;600 руб.;5469 3818 8421 6307
Петров Валентин Игоревич;N47201638;463-339-994 21;головная боль;инфекционист;2025-12-01T12:15+03:00;бакпосев крови, пцр диагностика;2025-12-04T09:00+03:00;3400 руб.;2200 0794 9993 9336
Богданова Кристина Васильевна;5019 769090;910-622-723 70;отеки, боль в пояснице;нефролог;2025-12-17T15:15+03:00;анализ мочи по Нечипоренко;2025-12-22T09:00+03:00;950 руб.;4276 4454 2493 2149
Семенова Александра Григорьевна;2315 465708;269-608-437 20;детские болезни, колики;педиатр;2025-12-08T15:45+03:00;анализ кала на яйца глист;2025-12-10T09:00+03:00;1750 руб.;4154 2826 3355 6436
Антонова Надежда Борисовна;5223 137058;445-655-743 14;общее недомогание;диетолог;2025-11-27T10:45+03:00;общий анализ мочи;2025-12-01T17:00+03:00;600 руб.;2200 0836 5271 7273
Фролов Вячеслав Егорович;7700 925603;233-865-596 99;колики;педиатр;2025-11-28T14:15+03:00;анализ кала на яйца глист, общий анализ мочи;2025-12-01T17:00+03:00;2350 руб.;4627 2956 2656 5049
Кузнецов Константин Кириллович;7820 550769;472-426-423 82;скованность в суставах, припухлость суставов, хромота;ортопед;2025-12-09T09:15+03:00;анализ крови на ревмофактор, денситометрия;2025-12-11T12:15+03:00;3400 руб.;5486 7391 1142 8178
Беляева Галина Никитична;5417 452203;917-410-119 80;отек суставов, утренняя скованность, боль в суставах;ревматолог;2025-12-01T11:30+03:00;анализ крови на антитела к ЦЦП;2025-12-03T17:00+03:00;1650 руб.;2200 0522 3959 4737
Захаров Денис Антонович;5421 114352;839-084-700 34;деформация суставов, боль в суставах, скованность в суставах;ортопед;2025-12-02T11:00+03:00;денситометрия, анализ крови на ревмофактор;2025-12-04T17:00+03:00;3400 руб.;4279 0187 8599 6487
Сидорчук Марк Павлович;7724 948086;664-505-730 05;головная боль, легкая тошнота, незначительное повышение температуры;венеролог;2025-12-15T11:30+03:00;общий анализ крови, общий анализ мочи;2025-12-16T12:30+03:00;1400 руб.;2200 0877 5372 6034
Орехов Кирилл Антонович;5424 500285;715-534-820 94;боли в мышцах, легкая тошнота, боль в груди;терапевт;2025-11-20T17:15+03:00;общий анализ крови, анализ крови на сахар;2025-11-24T17:00+03:00;2450 руб.;4622 0475 6085 8160
Антонов Вадим Виталиевич;0222 901103;239-728-351 07;общее недомогание;проктолог;2025-12-08T10:45+03:00;общий анализ мочи, общий анализ крови;2025-12-11T09:00+03:00;1400 руб.;4627 2926 5742 2315
Николайчук Макар Антонович;7725 406225;995-866-934 24;онемение ног;невролог;2025-11-20T11:15+03:00;реоэнцефалография, электроэнцефалография;2025-11-24T13:15+03:00;10750 руб.;2200 0830 1204 7130
